ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
CariOS,CAS,Ethereum,ERC20,Singapore,66700 ETH,12000 ETH,Unknown,VERY LOW,VERY LOW,VERY LOW,VERY LOW,VERY LOW,5,Benchy,N/A,10,N/A,N/A,2.9,7.4,-,2.9
GoChain,GOC,N/A,N/A,N/A,26500 ETH,2500 ETH,13685000 USD,-,VERY HIGH,VERY HIGH,MEDIUM,MEDIUM,N/A,Benchy,4.1,N/A,4.2,4.6,-,-,-,4.2
BITRUST,,Ethereum,Ethereum,UK,12000 ETH,6000 ETH,Unknown,-,-,-,VERY HIGH,VERY LOW,9,Benchy,N/A,10,N/A,N/A,2.8,8.6,-,2.8
Sancoj,SANC,Ethereum,ERC20,Nigeria,70000 ETH,500 ETH,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,-,10,Benchy,N/A,10,N/A,N/A,3.0,9.3,-,3.0
GEMERA,GEMA,Ethereum,ERC20,British Virgin Islands,30000000 USD,500000 USD,N/A,VERY HIGH,LOW,LOW,VERY HIGH,-,8,Benchy,3.5,10,3.7,3.9,3.8,8.8,-,3.8
Truegame,TGAME,N/A,N/A,N/A,10300 ETH,2300 ETH,3426445 USD,VERY HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,N/A,Benchy,4.8,N/A,4.7,4.6,-,-,-,4.7
Nagricoin,NGR,Ethereum,ERC20,Ireland,22000000 USD,500000 USD,1718000 USD,HIGH,HIGH,HIGH,HIGH,-,9,Benchy,3.9,10,2.9,3.6,3.6,9.7,-,3.6
Centaure,CEN,N/A,N/A,N/A,20200 ETH,500 ETH,N/A,-,HIGH,HIGH,VERY LOW,LOW,N/A,Benchy,3.0,N/A,3.0,4.0,-,-,-,3.5
Presiam,PRSM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Ravn's Korrax,KRX,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,7.6,-,N/A
SGAT,,CryptoNight,CryptoNight,France,"6,500,000 EUR","1,500,000 EUR",Unknown,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,7,Benchy,4.0,10,4.2,3.7,4.0,8.8,-,4.0
